prompt,label
"Context: Obese patients with idiopathic pulmonary fibrosis (IPF) have higher 90-day mortality after lung transplantation. We sought to determine whether body mass index (BMI) differentially modified the effect of transplant procedure type on 90-day mortality in IPF patients. We analyzed data from the Organ Procurement and Transplantation Network (OPTN) for all patients with IPF who were transplanted between 2000 and 2010. Post-transplant survival was examined using Kaplan-Meier estimates. Multivariable logistic regression modeling was used to determine the difference in 90-day survival. The primary variable of interest was the interaction term between body mass index (BMI) and transplant type. A total of 3,389 (58% single-lung transplant [SLT] and 42% bilateral lung transplant [BLT]) subjects were included. Multivariable logistic regression modeling demonstrated a statistically significant interaction between BMI and transplant type (p = 0.047). Patients with a BMI > 30 kg/m(2) who received a BLT are 1.71 times (95% CI [1.03 to 2.85], p = 0.038) more likely to die within 90 days than BLT recipients with a BMI of 18.5 to 30 kg/m(2).

Question: Do obese patients with idiopathic pulmonary fibrosis have a higher 90-day mortality risk with bilateral lung transplantation?

Provide a concise medical answer:
",1
"Context: Schizophrenia is recognized as a disorder of the brain and neuronal connectivity. The neural cell adhesion molecule 1 (NCAM1) gene plays a crucial role in regulating neuronal connectivity. We conducted a two-stage association analysis on 17 NCAM1 SNPs in two independent Han Chinese schizophrenia case-control cohorts (discovery sample from Hunan Province: 986 patients and 1040 normal controls; replication sample from Yunnan Province: 564 cases and 547 healthy controls). Allele, genotype and haplotype frequencies were compared between case and control samples. Transcription factor binding site prediction and luciferase reporter assays were employed to assess the potential function of promoter SNPs. We detected developmental changes at the transcriptional level of NCAM1 during neuron differentiation in Macaca mulatta neural progenitor cells (NPC). Serum levels of NCAM1 were measured in 72 cases and 88 controls. A promoter variant, rs2301228, was found to be associated with schizophrenia at the allelic level and was validated in a replication cohort. Luciferase reporter assays demonstrated that risk allele rs2301228-A significantly down-regulated NCAM1 gene transcription compared to the G-allele. Concordantly, schizophrenia patients had a significantly lower level of serum NCAM1 compared to healthy donors. During the NPC neuronal differentiation, NCAM1 mRNA was significantly increased, suggesting a critical role of this gene in neural development.

Question: Does promoter variant rs2301228 on the neural cell adhesion molecule 1 gene confer risk of schizophrenia in Han Chinese?

Provide a concise medical answer:
",1
"Context: Oxidative stress generated within inflammatory joints can produce autoimmune phenomena and joint destruction. Radical species with oxidative activity, including reactive nitrogen species, represent mediators of inflammation and cartilage damage. To assess serum nitric oxide as a marker of oxidative stress in Egyptian patients with rheumatoid arthritis and its relation to disease activity. 80 patients with rheumatoid arthritis were divided into 2 groups, according to the DAS-28 score: Group I: 42 patients with disease activity, and Group II: 38 patients with no disease activity. Forty age- and sex-matched individuals were included as control group (Group III). Routine laboratory investigations were done, and nitric oxide was measured using Elisa. Hand plain radiographies were done for radiological status scoring using the Sharp method. A comparison between nitric oxide in all three groups showed a highly significant difference (p < 0.001), significantly higher levels were obtained among rheumatoid arthritis patients in comparison to controls, and higher levels were obtained in patients with active disease (mean±SD 82.38±20.46) in comparison to patients without active disease (35.53±7.15). Nitric oxide in Group I showed a significant positive correlation with morning stiffness (r=0.45), arthritis (r=0.43), platelet count (r=0.46), erythrocyte sedimentation rate (r=0.83), C-reactive protein (r=0.76) and Disease Activity Score (r=0.85). Nitric oxide showed a significant positive correlation (r=0.43) with hand radiographies (Sharp score) in Group I.

Question: Are [ Higher nitric oxide levels associated with disease activity in Egyptian rheumatoid arthritis patients ]?

Provide a concise medical answer:
",1
"Context: Activation of B cells is a hallmark of systemic lupus erythematosus (SLE). Syk and TRAF6 are key signaling molecules in B-cell activation through BCR and CD40/TLR, respectively. Nevertheless, whether expression of Syk and TRAF6 is altered in SLE B cells remains unknown. Phosphorylation and/or expression of Syk and TRAF6 were analyzed by flow cytometry in peripheral blood mononuclear cells isolated from SLE patients. Pronounced phosphorylation and expression of Syk were noted in B cells from SLE patients compared with healthy donors. Levels of Syk phosphorylation correlated with the disease activity score. TRAF6 was significantly over-expressed in B cells of SLE patients as compared with healthy donors, and significant correlation of levels of TRAF6 expression and Syk phosphorylation was observed in SLE patients. Levels of TRAF6 expression were more pronounced in CD27+ memory B cells than in CD27-naïve B cells. In vitro treatment of SLE B cells with a Syk inhibitor (BAY61-3606) reduced Syk phosphorylation as well as TRAF6 expression.

Question: Does increased Syk phosphorylation lead to overexpression of TRAF6 in peripheral B cells of patients with systemic lupus erythematosus?

Provide a concise medical answer:
",1
"Context: The aim of this study was to determine the reasons for which erupted third molars (3M) are extracted in a sample of Mexican patients. A retrospective cross-sectional study was performed on a sample of 83 patients attending exodontia (minor oral surgery) clinics of a public university in Mexico (Autonomous University of Hidalgo State). The outcome variable was the reason for extractions using Kay and Blinkhorn's classification. The independent variables were age, gender, arch and tooth number according to the World Health Organization (WHO). For statistical analysis, we used the Chi-squared test in Stata 9.0. Eighty-three patients underwent 150 3M extractions. Mean age was 38.67 ± 13.96 years, and 71.1% were female. The four reasons for 3M extraction were prosthetic (44.0%), followed by orthodontic (24.7%), dental caries (20.0%) and periodontal disease (11.3%). Differences were observed in the reasons for 3M extractions across age groups (p < 0.05). No significant differences existed between men and women (p > 0.05), or the WHO tooth number (p > 0.05).

Question: Are reasons why erupted third molars extracted in a public university in Mexico?

Provide a concise medical answer:
",0
"Context: To measure the through-focus curve for eyes implanted with a type 1 Boston keratoprosthesis (KPro) and compare it to that of pseudophakic controls with fixed pupil sizes. The results should assist in evaluating postoperative visual quality after surgery. They should also help to determine the necessary KPro inventories in terms of refractive power steps. Autorefraction and manifest refraction were performed on all eyes. The monocular through-focus acuity curve was plotted in reference to the best-corrected visual acuity by spectacle plane defocus ranging from +5.00 to -5.00 dioptres in 0.50 dioptre increments. These measurements were obtained on KPro-implanted eyes, pseudophakic eyes as controls, and on the same control eyes after fixing the pupil diameter to 3 and 2 mm using black painted iris contact lenses. Ten KPro eyes and five control eyes were included. Good agreement was noted between the subjective refractions and autorefraction in KPro eyes. The average through-focus curve for the control eyes was significantly steeper than that of the KPro curve, but became comparable after fixing the control pupil to 2 and 3 mm.

Question: Does the Boston keratoprosthesis provide a wide depth of focus?

Provide a concise medical answer:
",1
"Context: Larger food portions lead to increased intake but the mechanism behind this effect is unclear. We investigated the effect of portion size on bite size, eating rate, deceleration rate, and meal duration. Thirty-seven overweight women attended 5 visits after a 3 h fast and consumed a 229, 303, 400, 529 or 700 g portion of a lunch meal in random order. Meal eating parameters were measured with the Sussex Ingestion Pattern Monitor. Data were analyzed with mixed effects models. Average bite size increased by 0.22 g for every 100 g increase in portion size (p=0.001); portion size had a non-linear effect on eating rate, increasing with portion sizes up to about 540 g (p=0.01). Deceleration rate (reduction in speed of eating) decreased by 20% (p<0.001) and meal duration increased by 22.5% for every 100 g increase in portion size (p<0.001), relative to the smallest portion.

Question: Do large portion sizes increase bite size and eating rate in overweight women?

Provide a concise medical answer:
",0
"Context: Pre-operative restaging CT scans are often performed routinely following neoadjuvant chemoradiotherapy for locally advanced rectal cancer. There is a paucity of data on the utility of this common practice. We sought to determine how often restaging CTs identified disease progression or regression that altered management. We performed a single-institution retrospective study. From 2007 to 2011, 182 patients had newly-diagnosed, non-metastatic rectal adenocarcinoma, of which 96 were surgical candidates with clinical stage II/III disease. Ninety-one of these patients (95%) completed neoadjuvant chemoradiation. Eighty-three out of 91 patients (91%) had restaging CTs. Four patients (5%) had new lesions suspicious for distant metastasis (2 lung, 2 liver) on restaging CT scan reports (1 of these was present on initial staging CT but not reported). All 4 patients had node-positive disease. In no case did restaging CT result in a change in surgical management.

Question: Are routine preoperative restaging CTs after neoadjuvant chemoradiation for locally advanced rectal cancer low yield : a retrospective case study?

Provide a concise medical answer:
",1
"Context: Plasma levels of pancreatic polypeptide (PP) rise upon food intake. Although other pancreatic islet hormones, such as insulin and glucagon, have been extensively investigated, PP secretion and actions are still poorly understood. The release of PP upon glucose stimulation and the effects of PP on glucagon and insulin secretion were analyzed in isolated pancreatic islets. Expression of PP receptor (PPYR1) was investigated by immunoblotting, quantitative RT-PCR on sorted pancreatic islet cells, and immunohistochemistry. In isolated mouse pancreatic islets, glucose stimulation increased PP release, while insulin secretion was up and glucagon release was down. Direct exposure of islets to PP inhibited glucagon release. In mouse islets, PPYR1 protein was observed by immunoblotting and quantitative RT-PCR revealed PPYR1 expression in the FACS-enriched glucagon alpha-cell fraction. Immunohistochemistry on pancreatic sections showed the presence of PPYR1 in alpha-cells of both mouse and human islets, while the receptor was absent in other islet cell types and exocrine pancreas.

Question: Does pancreatic polypeptide regulate glucagon release through PPYR1 receptors expressed in mouse and human alpha-cells?

Provide a concise medical answer:
",0
"Context: To review UK newspaper reports relating to Do Not Attempt Cardiopulmonary Resuscitation (DNACPR) decisions in order to identify common themes and encourage dialogue. An online media database (LexisNexis(®)) was searched for UK Newspaper articles between 1993 and 2013 that referenced DNACPR decisions. Legal cases, concerning resuscitation decisions, were identified using two case law databases (Lexis Law(®) and Westlaw(®)), and referenced back to newspaper publications. All articles were fully reviewed. Three hundred and thirty one articles were identified, resulting from 77 identifiable incidents. The periods 2000-01 and 2011-13 encompassed the majority of articles. There were 16 high-profile legal cases, nine of which resulted in newspaper articles. Approximately 35 percent of newspaper reports referred to DNACPR decisions apparently made without adequate patient and/or family consultation. ""Ageism"" was referred to in 9 percent of articles (mostly printed 2000-02); and ""discrimination against the disabled"" in 8 percent (mostly from 2010-12). Only five newspaper articles (2 percent) discussed patients receiving CPR against their wishes. Eighteen newspaper reports (5 percent) associated DNACPR decisions with active euthanasia.

Question: Do two decades of British newspaper coverage regarding attempt cardiopulmonary resuscitation decisions : Lessons for clinicians?

Provide a concise medical answer:
",1
"Context: The interval between neoadjuvant chemoradiation treatment and surgery has been described as an important predictor of pathologic response to therapy in nonesophageal cancer sites. We retrospectively reviewed our experience with patients who underwent neoadjuvant chemoradiation and esophagectomy to better understand the impact of the timing of surgery on pathologic complete response rates in esophageal cancer. Two hundred thirty-one sequentially treated patients from 2000 to 2011 were identified for this study; 88 of these patients completed neoadjuvant chemoradiation followed by esophagectomy at our institution. The interval between completion of chemoradiation and surgery was calculated for each patient. The patients were categorized into quartiles and also into 3-week interval groups. Treatment factors and surgical morbidity data, including the estimated blood loss and length of operative stay, were also assessed. Quartiles for the neoadjuvant chemoradiation to surgery interval were less than 45 days, 46 to 50 days, 51 to 63 days, and 64+ days. Corresponding pathologic complete response rates were 12.5%, 20.0%, 22.7%, and 40.9% (p = 0.03). Results for 3-week intervals were similar (p = 0.02). There was no association between increasing time interval between the ending of neoadjuvant chemoradiation to surgery and length of stay longer than 2 weeks.

Question: Is increased time from neoadjuvant chemoradiation to surgery associated with higher pathologic complete response rates in esophageal cancer?

Provide a concise medical answer:
",1
"Context: To investigate whether epileptogenic focus localization is possible based on resting state connectivity analysis of magnetoencephalographic (MEG) data. A multivariate autoregressive (MVAR) model was constructed using the sensor space data and was projected to the source space using lead field and inverse matrix. The generalized partial directed coherence was estimated from the MVAR model in the source space. The dipole with the maximum information inflow was hypothesized to be within the epileptogenic focus. Applying the focus localization algorithm (FLA) to the interictal MEG recordings from five patients with neocortical epilepsy, who underwent presurgical evaluation for the identification of epileptogenic focus, we were able to correctly localize the focus, on the basis of maximum interictal information inflow in the presence or absence of interictal epileptic spikes in the data, with three out of five patients undergoing resective surgery and being seizure free since.

Question: Is epileptic focus localization based on resting state interictal MEG recordings feasible irrespective of the presence or absence of spikes?

Provide a concise medical answer:
",1
"Context: To assess the effect of treatment of seminal Helicobacter pylori in infertile asthenozoospermic men. In all, 223 infertile asthenozoospermic men were consecutively selected. They were subjected to history taking, clinical examination, semen analysis, and estimation of H pylori IgA antibodies in their seminal fluid. Infertile men with high seminal H pylori IgA were subjected to triple drug treatment, omeprazole, 20 mg; tinidazole, 500 mg; and clarithromycin, 250 mg twice a day for 2 weeks. Semen analysis as well as H pylori IgA antibodies was estimated after 3 months. In all, 22 of 223 men (9.87%) demonstrated H pylori IgA antibodies in their seminal plasma. After treatment, mean seminal H pylori IgA levels demonstrated significant decrease (1.55 ± 0.4 vs 0.52 ± 0.26; 95% confidence interval, 0.83-1.21; P = .001) concomitant with improved progressive as well as nonprogressive sperm motility. H pylori IgA antibodies demonstrated significant negative correlation with progressive sperm motility, nonprogressive sperm motility, normal sperm morphology, and significant positive correlation with immotile sperm motility.

Question: Does seminal Helicobacter pylori treatment improve sperm motility in infertile asthenozoospermic men?

Provide a concise medical answer:
",1
"Context: In most cells, the cilium is formed within a compartment separated from the cytoplasm. Entry into the ciliary compartment is regulated by a specialized gate located at the base of the cilium in a region known as the transition zone. The transition zone is closely associated with multiple structures of the ciliary base, including the centriole, axoneme, and ciliary membrane. However, the contribution of these structures to the ciliary gate remains unclear. Here we report that, in Drosophila spermatids, a conserved module of transition zone proteins mutated in Meckel-Gruber syndrome (MKS), including Cep290, Mks1, B9d1, and B9d2, comprise a ciliary gate that continuously migrates away from the centriole to compartmentalize the growing axoneme tip. We show that Cep290 is essential for transition zone composition, compartmentalization of the axoneme tip, and axoneme integrity and find that MKS proteins also delimit a centriole-independent compartment in mouse spermatids.

Question: Does a migrating ciliary gate compartmentalize the site of axoneme assembly in Drosophila spermatids?

Provide a concise medical answer:
",1
"Context: Active commuters have lower risk of chronic disease. Understanding which of the, to some extent, modifiable characteristics of public transportation that facilitate its use is thus important in a public health perspective. The aim of the study was to examine the association between individual public transportation accessibility and self-reported active commuting, and whether the associations varied with commute distance, age, and gender. Twenty-eight thousand nine hundred twenty-eight commuters in The Capital Region of Denmark reported self-reported time spent either walking or cycling to work or study each day and the distance to work or study. Data were obtained from the Danish National Health Survey collected in February to April 2010. Individual accessibility by public transportation was calculated using a multi-modal network in a GIS. Multilevel logistic regression was used to analyze the association between accessibility, expressed as access area, and being an active commuter. Public transport accessibility area based on all stops within walking and cycling distance was positively associated with being an active commuter. Distance to work, age, and gender modified the associations. Residing within 10 km commute distance and in areas of high accessibility was associated with being an active commuter and meeting the recommendations of physical activity. For the respondents above 29 years, individual public transportation accessibility was positively associated with being an active commuter. Women having high accessibility had significantly higher odds of being an active commuter compared to having a low accessibility. For men, the associations were insignificant.

Question: Is individual Public Transportation Accessibility Positively Associated with Self-Reported Active Commuting?

Provide a concise medical answer:
",0
"Context: Pathophysiological mechanisms leading to chordee in patients with hypospadias and to the hidden state of buried penis in the prepubic fat remain unclear. Resection of dartos tissue usually makes the penis straight in patients with hypospadias and corrects it in those with buried penis, suggesting a common pathophysiology related to dartos tissue. Tissue samples from 113 children undergoing primary penile surgery for hypospadias (94 patients), epispadias (1) or buried penis (18) were collected between November 2011 and September 2013. Tissue samples from 79 children undergoing circumcision for nonmedical reasons served as controls. All samples were stained with smooth muscle actin and analyzed by the same pathologist, who was blinded to indication for surgery. Chi-square and Fisher exact tests were applied. Three different dartos tissue patterns were observed. Pattern I (normal) consisted of smooth muscle fibers of dartos tissue organized in a parallel configuration in the subcutaneous tissue. Pattern II was characterized by poorly developed and hypotrophic smooth muscle fibers. Pattern III was determined by randomly distributed smooth muscle fibers in the subcutaneous tissue, without parallel configuration. Pattern I was observed in 45 circumcision specimens (64%). Of buried penis cases 78% were considered abnormal (pattern II in 4 cases and III in 10, p = 0.001). Of hypospadias cases 70% were considered abnormal (pattern II in 31 cases, III in 32, and mixed II and III in 3, p < 0.001). The only epispadias case was designated pattern II.

Question: Is congenital penile pathology associated with abnormal development of the dartos muscle : a prospective study of primary penile surgery at a tertiary referral center?

Provide a concise medical answer:
",0
"Context: Several risk factors have been claimed to predict the progression of clinically high grade T1 bladder tumors. However, these factors are not specific enough to define which patients should be treated immediately with radical cystectomy. Therefore, it is critical to identify molecular markers that can help provide individualized, risk stratified decision making. Our main goal was to evaluate the role of total p63, p53 and ΔNp63 expression in cases of clinically high grade T1 bladder cancer progression. Total p63, p53 and ΔNp63 expression was analyzed by immunohistochemistry in 134 clinically high grade T1 tumors. We assessed clinical progression to muscle invasive disease or radical cystectomy as a patient outcome end point. Survival analysis was done for recurrence-free, progression-free, disease specific and overall survival. A total of 132 patients (98.5%) underwent repeat transurethral resection. Cases of early progression (less than 3 months) were excluded from study to avoid under staging. Of the tumors 90 (67.2%) showed ΔNp63 expression loss. During a median followup of 62.1 months 19 patients (14.2%) progressed to muscle invasive disease. The progression rate was 21.1% in patients with tumors characterized by ΔNp63 loss but no progression was observed in those with tumors with ΔNp63 expression (p <0.001). There was no difference in the number of patients who underwent repeat transurethral resection, had associated carcinoma in situ, showed lymphovascular invasion or received followup intravesical bacillus Calmette-Guérin courses.

Question: Is δNp63 expression a protective factor of progression in clinical high grade T1 bladder cancer?

Provide a concise medical answer:
",1
